name,age,gender,salary,education,years of service
Paul Faulkner,43,Male,51631,Ph.D.,16
Jennifer Santos,38,Male,60344,Bachelor's,3
Peter Rivera,46,Female,55772,Bachelor's,19
Becky Diaz,33,Female,90018,Ph.D.,12
Taylor Graham,26,Female,82253,Bachelor's,15
Lisa Potter,49,Male,91770,M.S.,24
Brenda Cuevas,34,Female,92170,Ph.D.,1
Kyle Adams,25,Female,73031,Bachelor's,11
Lisa Anderson,56,Male,83438,M.S.,23
Brian Alvarez,41,Female,72884,Ph.D.,15
Ashley Wade,31,Female,97991,M.S.,18
Melissa Lee,58,Female,96176,Ph.D.,26
Michael Thomas,40,Female,56895,M.S.,27
Harry Gross,32,Male,89633,Bachelor's,5
Alexander Watts,27,Male,91638,Ph.D.,20
Jennifer Lee,31,Male,51687,M.S.,21
Linda Rose,31,Male,84472,M.S.,8
Melody Hernandez,44,Male,73812,Bachelor's,17
Monica Mcdaniel,61,Male,61931,Ph.D.,12
Victoria Blair,59,Male,76494,Bachelor's,14
Bradley Wolf,34,Female,87849,Ph.D.,15
Andrew Sandoval,30,Female,50286,Bachelor's,22
Heather Sutton DVM,26,Male,95873,Ph.D.,4
Susan Castillo,35,Male,97187,Ph.D.,16
Lindsey Gutierrez,34,Male,65215,Bachelor's,16
Kyle Gomez,56,Female,74722,M.S.,10
Scott Price,36,Female,95119,Bachelor's,27
Brendan Lewis,37,Male,61816,Ph.D.,19
Savannah Watson,25,Female,53204,M.S.,28
Omar Todd,45,Male,78665,Bachelor's,6
Chelsea Weeks,31,Male,56035,M.S.,25
Dr. Erica Page,48,Female,80869,Bachelor's,5
Shelly Ware,56,Female,69145,Ph.D.,28
Mark Fitzgerald,31,Male,50710,Ph.D.,7
Mallory Bell,52,Male,68556,Bachelor's,4
Christina Hernandez,25,Male,88187,Ph.D.,14
Clarence Bradley,42,Female,75538,Ph.D.,21
Alexis Parker,64,Female,61153,M.S.,15
Mary Macias,30,Male,78383,Bachelor's,27
Sean Freeman,29,Female,96331,Ph.D.,17
David Solis,56,Male,50512,Bachelor's,15
James Johnson,25,Male,74065,Bachelor's,19
Chad Griffin,63,Male,65735,Ph.D.,7
Ronald Zuniga,44,Female,72705,M.S.,7
Meghan Sanchez,54,Female,71707,Bachelor's,29
Brenda Maldonado,41,Male,53605,Ph.D.,9
William Chapman,55,Male,77388,Ph.D.,2
Linda Jackson,58,Male,51556,M.S.,25
Gregory Steele,48,Female,72043,Bachelor's,23
Karen Mckenzie,45,Female,52803,Ph.D.,29
Stephanie Ball,43,Male,74963,Bachelor's,30
Grace Hunter DVM,32,Male,80813,M.S.,11
Cynthia Buckley,32,Female,63470,M.S.,8
Jeremy Cisneros,25,Female,68491,Bachelor's,9
Margaret Dunlap,28,Female,74183,Ph.D.,28
Brandon Delgado,56,Female,78809,M.S.,3
Oscar Banks,50,Female,74987,Bachelor's,15
Kimberly Reid,55,Female,72797,Ph.D.,5
Nathan Costa,28,Female,53052,M.S.,7
Adam Nunez,59,Male,80487,Bachelor's,16
Sarah White,42,Female,55760,Ph.D.,1
Bethany Jones,47,Male,53850,M.S.,22
Brooke Nguyen,46,Male,88015,Bachelor's,3
Michael Flores,32,Male,88054,Ph.D.,8
Julie Mann,26,Female,99415,Ph.D.,26
Donna Norris,31,Male,70441,Ph.D.,23
Lisa Lawrence,34,Female,78381,Ph.D.,10
Meghan Patterson,63,Male,71144,Bachelor's,14
Leah Roman,25,Female,81945,Ph.D.,20
Karen Craig,48,Female,98900,Bachelor's,27
Daniel Moore,40,Female,65852,Ph.D.,21
Dr. Erin Green,30,Female,61988,Bachelor's,11
Amanda Rodriguez,38,Male,89172,Ph.D.,8
Mike Perez,27,Male,67044,Ph.D.,6
Jason Villarreal,62,Female,89962,M.S.,28
Sarah Ward,61,Female,74304,Bachelor's,7
Nancy Russo,30,Female,94445,M.S.,26
James Farmer,44,Female,64034,Ph.D.,8
Cassidy Patel,49,Male,80690,M.S.,15
Teresa Frost,53,Male,98736,Bachelor's,29
Daniel Reese,34,Male,58129,Ph.D.,19
Brian Orozco,56,Female,88343,Ph.D.,16
Elizabeth Buchanan,25,Male,70114,Bachelor's,19
Evan Cooper,37,Male,74378,Bachelor's,16
Scott Simpson,29,Female,68599,M.S.,17
Debra Graham,36,Female,56556,Bachelor's,30
Karen Barrera,41,Male,93475,Bachelor's,1
Karla Floyd,65,Female,55067,M.S.,13
Andrew Tucker,58,Female,55993,Ph.D.,22
Kelly Ramirez,58,Female,85588,M.S.,5
Alexander Patterson,36,Female,84318,Ph.D.,17
Melissa Graham,36,Female,71887,M.S.,11
Cory Martin,52,Female,78872,M.S.,23
Catherine Garcia,34,Male,77194,M.S.,12
Casey Klein Jr.,49,Female,51470,Bachelor's,12
Victoria Bell,52,Male,75445,Ph.D.,7
Janet Wells,25,Female,77449,M.S.,25
Matthew Ryan,58,Male,60410,Ph.D.,3
Justin Sandoval,47,Female,65554,Ph.D.,23
John Adams,56,Male,58061,M.S.,20
Rodney Leblanc,26,Female,73372,M.S.,5
Jeremy Wright,64,Male,58339,Bachelor's,26
Melissa Shields,46,Female,98509,Bachelor's,2
Shannon Webb,48,Female,57322,Ph.D.,30
Vincent Hebert,42,Male,71123,Bachelor's,22
Thomas Marshall,32,Female,62121,Ph.D.,6
Alyssa Roberts,59,Male,71711,Bachelor's,3
David Bishop,59,Male,54714,M.S.,4
Jeffrey Fox,55,Male,88088,Bachelor's,5
Darlene Wolfe,50,Male,69071,M.S.,11
Bobby Mcmahon,49,Female,58047,Ph.D.,4
Bob Robinson,58,Female,92077,M.S.,15
Shannon Cervantes,34,Female,74764,Ph.D.,15
Tina Schwartz,27,Female,94727,Ph.D.,6
Joseph Hernandez,36,Male,56717,M.S.,1
Anthony Whitaker,32,Male,65351,Bachelor's,14
Lisa Acosta,37,Male,69719,Bachelor's,8
Katie Mckinney,65,Male,86992,Bachelor's,30
Patrick Dougherty,54,Male,57266,M.S.,6
Ann Rodriguez,47,Female,97489,Bachelor's,15
Brian Wallace,32,Female,56736,Bachelor's,20
Sarah Rodriguez,54,Male,56088,Bachelor's,1
Phillip Graham,63,Female,88247,Ph.D.,29
Christopher Brown,25,Male,73746,M.S.,21
William Mooney,57,Male,68517,M.S.,2
Cody Thompson,53,Male,70059,Bachelor's,8
Mr. James Coleman Jr.,28,Male,93421,Bachelor's,27
Stacy Campbell,63,Male,96892,M.S.,27
Steven Hatfield,64,Male,83356,Bachelor's,21
Michaela Powers,25,Male,66409,Bachelor's,27
Brandon Walsh,26,Female,99950,Ph.D.,16
Logan Barry,55,Male,62652,Bachelor's,26
Andrew Compton,52,Male,55103,Ph.D.,3
Amanda Kemp,58,Male,50650,M.S.,14
Kristina Burton,34,Female,67502,Bachelor's,11
Jennifer Ellison,34,Male,86718,Ph.D.,11
Marilyn Clark,31,Female,52933,M.S.,6
Roy Smith,33,Female,50286,M.S.,27
Frank Conway,57,Female,86427,M.S.,1
Jeffery Salazar,53,Male,58570,M.S.,25
John Flores,35,Female,52106,Bachelor's,6
Timothy Carr,65,Male,51253,Ph.D.,4
Justin Owen,56,Female,59867,M.S.,17
Lee Jones,41,Female,95540,M.S.,26
Charles Weaver,50,Female,55901,Bachelor's,18
Johnny Garza,51,Female,98946,Bachelor's,28
Cynthia Pennington,46,Female,61256,Ph.D.,7
Danielle Robinson,49,Male,89808,M.S.,28
Michele Hampton,47,Female,79956,Ph.D.,13
William Lin,37,Female,80853,Ph.D.,27
Cristina Russell,29,Male,72027,Bachelor's,6
Steven Clark,53,Male,64669,Ph.D.,18
Makayla Garza,49,Male,71158,M.S.,2
Amy Johnson,38,Male,88587,Ph.D.,10
Donald Salazar,38,Male,50529,M.S.,9
Jessica Griffin,49,Male,74247,Bachelor's,11
Laura Johnson,37,Female,70038,Bachelor's,3
Stephanie Jackson,33,Female,60297,M.S.,3
Amy Scott,55,Male,82988,Bachelor's,26
Katherine Romero,57,Male,68667,M.S.,14
Tiffany Johnson,39,Male,59140,Ph.D.,15
Matthew Cantu,49,Female,67374,Bachelor's,20
William Townsend,36,Female,50318,Bachelor's,21
Hunter Hernandez,48,Male,62480,Bachelor's,21
James Diaz,48,Female,95227,Ph.D.,29
Natalie Webb,59,Female,96564,M.S.,15
Adam Bradley,48,Female,63984,M.S.,17
Johnathan Young,40,Female,76236,Bachelor's,1
Erik Terry,25,Male,63462,Ph.D.,12
Amanda Jackson,28,Female,57292,Ph.D.,1
Michelle Clements,56,Female,89729,Bachelor's,16
Patricia Turner,54,Female,93753,Ph.D.,29
Jasmine Thomas,60,Male,71962,Ph.D.,29
Lauren Roberts,26,Female,53858,Ph.D.,6
Shane Wade,33,Female,63552,Bachelor's,15
Erica Lopez,51,Male,72615,Bachelor's,29
Diane Taylor,55,Female,56355,M.S.,15
Sarah Rogers,35,Male,81762,M.S.,20
Travis Russell,47,Male,55644,M.S.,6
Elizabeth Phillips,33,Male,76637,Ph.D.,30
Christian Deleon,52,Male,55266,Bachelor's,24
Emily Sexton,45,Female,62129,M.S.,15
Jonathan Mcdowell,47,Female,50177,Ph.D.,19
Jesse Carter,54,Male,90167,Ph.D.,22
Scott Miller,37,Female,96151,Ph.D.,27
Karen Simmons,38,Female,98112,Ph.D.,20
Holly Munoz,61,Male,77519,Bachelor's,5
David White,58,Female,68858,M.S.,30
William Barrett,37,Male,81250,Bachelor's,17
Crystal Larson,28,Female,58482,Ph.D.,5
Corey Reeves,64,Male,92220,Ph.D.,1
James Anderson,33,Female,74049,Ph.D.,3
Brooke Watson DDS,49,Male,64536,Ph.D.,27
Kathryn Strickland,53,Male,99167,M.S.,27
Molly Gonzalez,55,Female,93653,M.S.,30
Brian Kline,41,Male,91927,Ph.D.,4
Jonathan Cooke,34,Female,90465,Ph.D.,16
Julia Newman,44,Male,65000,Ph.D.,15
Jeremy Murray,58,Female,71452,Ph.D.,11
Katherine Goodman,56,Male,65643,Ph.D.,14
Thomas Murphy,65,Male,72468,Bachelor's,9
Ashley Hunter,27,Female,63236,M.S.,7
Cynthia Fields,50,Female,54578,M.S.,2
Billy Cruz,35,Male,73923,Ph.D.,27
Hannah Curry,56,Female,75675,M.S.,22
Brian Willis,28,Female,52450,Bachelor's,24
Charles Richmond,29,Male,71156,M.S.,24
Tiffany Mckay,37,Female,87116,Ph.D.,4
Lindsey Turner,34,Female,65829,Bachelor's,14
Thomas Benson,39,Male,96577,M.S.,10
Donald Brown,63,Female,50700,Bachelor's,20
Megan Tanner,48,Female,85470,Ph.D.,2
Charles Kerr,57,Female,99226,M.S.,13
Timothy Conrad,57,Female,57143,Ph.D.,8
Jeremy Keller,27,Male,88233,Ph.D.,10
Chelsea Shaw,45,Male,64457,Bachelor's,15
Deborah Cooke,50,Male,93276,Ph.D.,27
Cynthia Sullivan,46,Male,84931,Ph.D.,12
Eric Hall,34,Female,97725,Bachelor's,26
Michael Roth,46,Male,73820,Ph.D.,7
Spencer Knight,44,Female,65210,Bachelor's,8
Mr. Ryan Young,49,Male,68177,Bachelor's,3
Meghan Boyd,38,Male,89817,Ph.D.,3
Rachel Rhodes,62,Female,89846,M.S.,27
Adam Oliver,40,Male,94133,Ph.D.,30
John Smith,49,Female,85217,Ph.D.,15
Brittany Perez,48,Female,86838,Bachelor's,15
Kyle Daniels,38,Female,81170,Bachelor's,8
Christopher Stein,28,Female,52406,Ph.D.,8
Michael Valdez,39,Male,52831,Bachelor's,4
Ernest Cohen,40,Male,88808,Ph.D.,29
Linda Scott,63,Male,87801,Bachelor's,4
Thomas Nash,49,Male,56092,M.S.,12
Michelle Lopez,44,Female,95594,M.S.,13
Gary Hill,47,Male,62117,Ph.D.,14
Marc Johnson,25,Male,87271,Ph.D.,14
Jo Newton,39,Male,53764,Bachelor's,24
Linda Wyatt,49,Male,91436,Ph.D.,25
Dakota Garrison,63,Male,63367,M.S.,28
Heather Patterson,48,Male,52006,Bachelor's,10
Brian Harrell,33,Male,55582,M.S.,5
Lisa Scott,64,Male,59049,Bachelor's,25
Andrew Chaney,33,Female,63388,Ph.D.,13
Jennifer Johnson,25,Male,60547,Ph.D.,13
Kevin Barnes,37,Male,73767,Bachelor's,19
Lisa Mills,51,Male,57894,M.S.,11
Bryan Leonard,53,Male,58553,M.S.,28
Alan Chandler,42,Male,85960,Ph.D.,24
Peter Pitts,41,Male,94839,M.S.,1
Virginia Kelley,53,Female,79655,Ph.D.,26
Glenn Patton,30,Male,64599,Ph.D.,13
Adam Sanchez,48,Female,74169,Bachelor's,14
George Valenzuela,37,Female,95081,M.S.,27
Antonio Walters,38,Male,90140,Bachelor's,16
Anthony Miller,35,Male,92332,M.S.,28
Debbie Hernandez,55,Female,75237,Bachelor's,30
Russell Chen,61,Female,96734,M.S.,11
Lawrence Lopez,57,Female,80282,Ph.D.,26
Danielle Holland,52,Female,70684,Ph.D.,11
William Ferguson,34,Male,58253,Bachelor's,7
Lori Lopez,29,Male,73297,M.S.,8
Susan Johnson,59,Female,98193,Bachelor's,11
Terry Reese,52,Female,57254,M.S.,21
Sarah Smith,64,Male,69945,Ph.D.,14
Brandy Griffin,48,Female,85283,Bachelor's,7
Linda Harrison,63,Female,56872,M.S.,7
Nicole Rivera,38,Male,72521,Bachelor's,14
Alexandria Marshall,49,Female,51221,Ph.D.,3
Kevin Carroll,47,Female,56798,Ph.D.,17
Kristine Hall,57,Female,63168,Bachelor's,12
Jo Davis,34,Female,75624,Bachelor's,11
Laura Stanley,39,Female,53244,M.S.,22
Philip Lawson,42,Female,58371,Bachelor's,27
Isaac Alvarez,52,Male,74396,Ph.D.,22
Melissa Vaughn,63,Female,87361,M.S.,15
Casey Luna,45,Female,90755,Ph.D.,8
Robert Lambert,39,Male,54393,Bachelor's,22
Jordan Spears,40,Female,72582,M.S.,24
Joseph Christensen,30,Male,65908,M.S.,20
Michael Williams,36,Female,97249,Ph.D.,2
Joseph Grimes,55,Male,62790,M.S.,29
Katherine Thompson,39,Male,88988,Ph.D.,3
Andrew Morales,42,Female,50925,Ph.D.,22
Candace Lam,57,Female,94764,Bachelor's,28
Matthew Jones,43,Male,70101,M.S.,22
David Gonzales,59,Female,52523,Bachelor's,29
Kayla Long,47,Male,59378,M.S.,2
Raven Johnson,35,Male,50960,Bachelor's,3
Laurie Simpson,53,Female,92515,Ph.D.,22
David Clark,55,Female,84179,Ph.D.,1
Douglas Werner,47,Male,99113,M.S.,27
Cody Erickson,35,Male,73864,Ph.D.,10
Bradley Vincent,61,Female,59625,Ph.D.,26
Susan Robinson,52,Male,88946,Bachelor's,2
Lisa Miller,58,Male,55664,Ph.D.,6
Kenneth Clark,37,Male,71240,M.S.,17
Jennifer Valenzuela,62,Male,69025,Ph.D.,13
Christine Lawrence,60,Male,62160,Ph.D.,7
Kelsey Chase,39,Female,71226,M.S.,10
Jessica Adams,49,Female,72860,Ph.D.,14
Wendy Golden,56,Male,55182,Bachelor's,5
Patrick Pena,61,Male,87138,Ph.D.,19
Michelle Soto,44,Female,76034,M.S.,26
Jessica Arnold,39,Male,51598,Bachelor's,8
Kevin Phillips,37,Male,80966,M.S.,2
Richard Wilkinson,65,Female,79949,M.S.,25
Kathleen Clark,55,Female,93233,Ph.D.,29
Nathan Lawrence,39,Female,93009,Bachelor's,11
Theresa Chandler,45,Female,58847,Ph.D.,24
Rachel Vaughn,62,Male,71940,Ph.D.,22
Debbie Jones,64,Female,70303,Ph.D.,24
Jeanne Ward,50,Female,57905,Ph.D.,15
Patricia Hernandez,46,Male,91110,Bachelor's,15
Nathan Thomas,31,Male,64106,M.S.,13
Lisa Wright,30,Female,95520,M.S.,3
Theresa Michael,30,Male,72671,M.S.,27
George Klein,56,Female,75840,Ph.D.,25
Kirsten Cole,56,Female,56401,Ph.D.,1
Michael Mendez,59,Male,85002,M.S.,30
Tracy Myers,47,Male,64031,Ph.D.,7
Daniel Gardner,53,Male,50752,Bachelor's,26
Ashley Rodriguez,29,Male,96468,Ph.D.,19
George Mccoy,54,Male,53704,M.S.,20
James Key,56,Female,62711,Ph.D.,10
Crystal Wang,38,Male,76326,M.S.,4
Alexander Schmidt,31,Male,97024,M.S.,10
Mason Livingston,52,Male,76752,Bachelor's,25
Madison Green,44,Male,83490,Ph.D.,22
David Rogers,62,Male,63929,M.S.,1
Amy Choi,40,Female,59915,M.S.,17
Alyssa Davis,37,Female,67087,M.S.,5
Kevin Lane,44,Male,90006,Ph.D.,23
Emily Bryan,60,Male,72462,Ph.D.,5
Rodney Townsend,26,Male,70192,M.S.,22
Lisa Patterson,46,Male,99869,Bachelor's,12
Laura Johnston,47,Male,52687,Ph.D.,22
Anthony Pace,64,Female,83888,Bachelor's,9
Hayden Wilson,41,Male,94550,Ph.D.,13
Scott Brown,50,Female,52066,Ph.D.,2
Scott Lee,47,Female,93309,Ph.D.,24
Catherine Alvarez,49,Female,75179,M.S.,20
Gregory Ramos,33,Male,85317,Bachelor's,23
Linda Brown,55,Male,73964,M.S.,4
Ernest Crawford,62,Male,87027,Ph.D.,28
Keith Morgan,48,Female,55032,Bachelor's,15
Steven Turner,26,Male,96623,M.S.,14
Tamara Hayes,60,Female,55852,M.S.,27
David Brown,44,Male,59417,M.S.,12
Donald Tucker,28,Male,83419,M.S.,6
Ruth Scott,56,Female,51010,Bachelor's,5
Adam Chapman,38,Male,84832,Bachelor's,11
Jennifer Crosby,56,Female,72460,M.S.,1
Michael Sanchez,50,Male,58161,Bachelor's,21
Stephanie Poole,48,Female,83278,M.S.,8
Amy Gardner,53,Female,78209,Bachelor's,22
Jermaine Hurley,27,Female,95936,M.S.,3
Brett Rice,34,Male,67656,Bachelor's,15
Melissa Glass,43,Female,85848,M.S.,12
George Burnett,32,Female,90885,Ph.D.,7
Paul Fuentes,56,Female,83748,M.S.,28
Christopher Douglas,56,Female,87376,Bachelor's,16
Ryan Campbell,42,Female,98354,M.S.,13
Brian Harvey,49,Female,81330,M.S.,20
James Williams,28,Male,98325,M.S.,25
William Morris,25,Male,51701,Bachelor's,26
Christy Miller,45,Male,69652,Bachelor's,23
Earl Tran,46,Female,63847,Bachelor's,1
Michele Bush,53,Female,92527,M.S.,17
Jessica Cruz,41,Female,72140,M.S.,11
Brent Greene,41,Male,52179,Ph.D.,14
Robert Johnson,62,Female,90287,Bachelor's,19
Jordan Levy,30,Male,86603,Ph.D.,3
Carrie Mercado,35,Male,51252,M.S.,12
Shelby Briggs,40,Female,50278,M.S.,5
Patty Walker,63,Female,54654,Bachelor's,22
Carolyn Cabrera,44,Male,95227,Bachelor's,11
Amber Anderson,42,Female,69441,Bachelor's,17
Laura Martin,64,Female,81413,Bachelor's,25
Katherine Dennis,42,Female,96036,M.S.,7
Nancy Brown,57,Female,62769,Ph.D.,8
Matthew Rodriguez,36,Male,72955,Bachelor's,26
Alexis Erickson,53,Female,62056,Ph.D.,30
Darrell Fisher,31,Male,82073,Bachelor's,9
Gary Campbell,62,Female,75912,Bachelor's,13
Courtney Craig,30,Male,50945,M.S.,22
Marissa Wallace,61,Male,80904,Bachelor's,11
Amanda Holloway,59,Female,60879,Bachelor's,5
Christopher Wright,47,Male,65918,M.S.,29
Kenneth Scott,30,Female,97737,M.S.,4
Margaret Woods,58,Male,84749,M.S.,19
Chase Lawson,63,Female,52166,Bachelor's,24
Austin Reyes,31,Male,89843,M.S.,3
Michael Schneider,36,Female,88687,Ph.D.,26
Cynthia Cisneros,36,Male,86770,Bachelor's,9
Gina Case,44,Male,91850,Ph.D.,28
Sarah Gardner,44,Female,60292,Bachelor's,3
Jennifer Garcia,49,Female,76100,Bachelor's,5
John Woodard,44,Male,60350,M.S.,12
William Bowman,37,Male,99671,Bachelor's,24
Regina Johnson,61,Female,97856,Ph.D.,9
William Jackson,64,Male,70320,Bachelor's,15
Tracy Roberson,60,Female,95721,M.S.,8
Vickie Young,46,Male,78436,M.S.,22
Sara Fernandez,32,Female,62123,Bachelor's,2
Ian Oliver,36,Male,82120,Bachelor's,23
Daniel Black,64,Male,63795,Bachelor's,20
Rebecca Pham,50,Female,60336,M.S.,13
Samantha Schultz,55,Male,60950,Bachelor's,10
Adrian Williams,57,Male,80972,Bachelor's,8
William King,29,Male,84939,M.S.,24
James Klein,31,Male,67677,M.S.,21
Brian Collins,33,Female,69638,Ph.D.,24
Lisa Archer,50,Male,72146,M.S.,27
Maria Richardson,30,Male,54232,Ph.D.,8
Jon Watson,54,Male,93371,M.S.,24
Dustin Osborne,52,Female,93264,M.S.,7
Sherry Rubio,29,Male,82713,Ph.D.,10
Courtney Jennings,29,Male,99731,Bachelor's,15
Thomas Chavez,34,Male,59593,Bachelor's,22
Christina Torres,57,Male,68633,Ph.D.,8
Morgan Walker,65,Female,81541,Bachelor's,10
Michael Carrillo,58,Female,54546,Ph.D.,5
Aaron Williamson,40,Female,99487,M.S.,13
Bryan Townsend,38,Male,75904,Bachelor's,15
Desiree Smith,58,Male,91612,Bachelor's,18
Adrian Hall,30,Male,53066,M.S.,12
John Frazier,41,Female,85826,M.S.,26
Raymond Rivera,47,Female,94441,Ph.D.,14
Jose Mcneil,32,Male,81417,Ph.D.,29
Lisa Gomez,28,Male,89105,M.S.,14
Madison Smith,43,Male,87060,M.S.,3
Kevin Bowen,28,Male,93664,M.S.,19
John Gilmore,34,Male,94895,Ph.D.,30
Mrs. Monica Palmer,28,Female,72925,Ph.D.,7
Amber Smith,33,Female,96095,Ph.D.,5
Wendy Gilmore,33,Male,70052,Bachelor's,9
Laura Blake,35,Female,50339,M.S.,10
Kevin Houston,25,Female,71484,Ph.D.,11
James Humphrey,50,Male,76648,M.S.,5
Danny Estes,42,Female,79813,Bachelor's,20
Eric Arnold,31,Male,79845,Ph.D.,18
Ann Conner,35,Male,85650,Ph.D.,29
Nicholas Kennedy,33,Male,84602,Bachelor's,30
Douglas Johnson,53,Male,80088,Bachelor's,28
Caitlin Davis,43,Female,91157,Bachelor's,7
Richard Jones,56,Male,75802,Ph.D.,18
Victor Parks,27,Male,80816,Ph.D.,2
Emma Martinez,39,Male,82024,M.S.,4
Amanda Huffman,36,Male,54371,Ph.D.,16
Melissa Jimenez,28,Male,78401,M.S.,13
Noah Mckay,26,Female,79790,Ph.D.,8
Alexis Smith,61,Male,91765,Bachelor's,29
Trevor Rogers,60,Male,56480,Ph.D.,11
Dennis Fleming,48,Female,57229,Bachelor's,20
Michael Garcia,58,Male,94128,Bachelor's,20
Nathaniel Melendez,29,Female,82822,M.S.,4
Raymond Hess,26,Male,75611,Bachelor's,4
Kristin Bell,55,Male,85053,M.S.,13
Natalie Stevenson,28,Male,92586,M.S.,25
Jerome Brown,30,Female,77358,Ph.D.,7
Holly Underwood,25,Female,59857,M.S.,20
Christopher Lynn,26,Male,77119,M.S.,7
Monica Maxwell,27,Female,66943,Bachelor's,13
Charles Moore,64,Male,72814,M.S.,17
Rebecca Oliver,37,Male,82731,M.S.,17
Noah Carter,28,Male,90716,M.S.,8
Annette Holland,31,Female,84062,Bachelor's,25
Richard Frye,27,Male,69248,Bachelor's,20
Mrs. Stacy Bell,60,Female,98849,Bachelor's,13
Jackson Greene II,54,Female,94177,Ph.D.,2
Elizabeth Harris,30,Female,99394,Ph.D.,9
Adam Pena,48,Male,91365,Bachelor's,18
Michelle Frank,34,Male,72612,Ph.D.,5
Ariel Jimenez,57,Male,89040,Ph.D.,5
Kendra James,48,Male,60031,Ph.D.,29
Mariah Mathews,41,Male,89802,M.S.,2
Laurie Carroll,51,Female,92017,M.S.,5
Matthew Hernandez,25,Female,85111,M.S.,14
Angela Davidson,53,Male,91804,Ph.D.,17
Carol Diaz,48,Male,77008,M.S.,5
Beth Hansen,30,Male,81813,Ph.D.,5
Benjamin Hansen,64,Male,86260,Ph.D.,9
John Wu,59,Female,87619,Bachelor's,28
Tracey Deleon,65,Female,99765,Bachelor's,26
Sonya Curry,42,Male,75426,M.S.,25
James Ortiz,52,Male,56313,M.S.,9
William Martinez,64,Female,55934,M.S.,2
Sharon Moore,49,Female,70445,Ph.D.,30
Lisa Davis,37,Male,71290,Bachelor's,12
Joseph White,29,Male,71329,M.S.,3
Juan Jackson,33,Male,97229,Bachelor's,21
David Johnson,61,Male,97640,Ph.D.,30
Elizabeth Miller,38,Male,64441,M.S.,26
Amy Smith,26,Male,63261,M.S.,3
Francis Serrano,43,Female,58145,Bachelor's,8
Benjamin Long,27,Female,89825,Bachelor's,5
Ann Wheeler,39,Male,53710,Bachelor's,2
Mary Leon,45,Male,56568,Bachelor's,4
Sheila Wade,44,Male,54983,M.S.,16
Sean Hill,57,Female,64183,M.S.,1
Tracy Tucker,63,Female,66323,Ph.D.,27
Ann Escobar,52,Male,92478,Ph.D.,6
Kevin Owens,40,Male,63925,Ph.D.,20
Rodney Garrett,37,Female,92985,Ph.D.,14
Stephanie Powell,52,Male,64794,Ph.D.,30
Marcus Bishop,51,Male,89597,Bachelor's,28
Elizabeth Benson,36,Male,55447,Ph.D.,2
Courtney Brown,60,Female,57471,M.S.,24
Matthew Austin,65,Male,95534,M.S.,10
Shawn Kim,32,Female,99754,Bachelor's,21
Connie Frey,30,Male,99939,M.S.,9
John Allen,46,Female,71703,Bachelor's,5
Joseph Gray,56,Female,66746,Ph.D.,22
Anthony Murphy,54,Male,98256,Ph.D.,28
Amanda Hill,52,Female,71650,M.S.,3
Laurie Webster,64,Male,85845,M.S.,3
Stephen Andersen Jr.,58,Male,59574,Ph.D.,1
Michael Chandler,45,Male,87377,Bachelor's,16
Jennifer Christian,29,Female,71637,Bachelor's,24
Daniel Hinton,32,Female,54811,Bachelor's,3
Adam Smith,56,Female,74666,M.S.,14
Chelsea Johnson,25,Female,88655,Ph.D.,20
Daniel Adams,41,Female,51106,Bachelor's,19
Tina Marshall,63,Male,98296,M.S.,20
Laura Garcia,57,Male,87667,Ph.D.,10
Michael Herring,34,Female,69893,Bachelor's,10
Paul Lopez,64,Female,85321,Ph.D.,4
Jennifer Knapp,48,Male,67647,M.S.,17
Corey Price,36,Male,51295,Bachelor's,10
Lori Hill,59,Male,53349,Ph.D.,24
Robert Bell,49,Male,77686,Ph.D.,20
Sarah Wilson,47,Female,67662,Ph.D.,25
Ashley Weber,26,Female,67836,Ph.D.,26
Linda Chapman,63,Male,86848,Ph.D.,5
Angela Rose,59,Male,66887,Bachelor's,9
Tamara Diaz,56,Male,63835,Bachelor's,27
Marcia Allen,60,Female,75122,M.S.,23
Michael Baker,53,Female,78844,M.S.,6
Crystal Williams,32,Male,83464,Bachelor's,1
James Graham,45,Male,84222,Bachelor's,5
Lisa Diaz,55,Female,65603,Bachelor's,7
Jennifer Wilson,63,Male,97177,Bachelor's,29
Brandon Walker,54,Male,54750,Bachelor's,24
Randall Flores,35,Male,97757,M.S.,9
Michelle Wilson,27,Female,58316,Bachelor's,28
Lauren Marsh,38,Female,73254,Bachelor's,24
Michael Walker,54,Female,73341,M.S.,4
Erica Waters,60,Male,68336,M.S.,1
Jared Simpson,28,Male,83904,Ph.D.,11
Marie Atkinson,38,Female,96419,Ph.D.,24
Ashley Griffith,53,Male,87279,Ph.D.,5
Jorge Petersen,40,Female,92366,M.S.,1
Melissa Bailey,29,Male,85647,Ph.D.,15
Melissa Hale,48,Female,50867,M.S.,9
Julie Duke,61,Male,72938,Ph.D.,19
Scott Nichols,55,Male,66790,M.S.,17
Jordan Petersen,27,Male,98185,Bachelor's,4
Dustin Church,56,Female,92083,Ph.D.,12
Jessica Mann,29,Male,91103,Bachelor's,19
James Ibarra,36,Female,63338,Bachelor's,25
Terri Wilson,59,Male,75216,M.S.,3
Patricia Franklin,52,Female,87597,Ph.D.,4
Michael Sloan,62,Female,56115,M.S.,14
Brittany Nash,59,Male,72119,M.S.,26
Sandra Taylor,51,Female,73037,M.S.,21
Mark Williams,32,Female,63423,Ph.D.,16
Linda Allen,27,Male,87966,Bachelor's,17
